ID_Cliente,Probabilidad_Exito,Perfil,Llamada_Recomendada
39215,0.9895573255015838,1. Alta Probabilidad / Hot Lead (Prioridad),1
39227,0.9895573255015838,1. Alta Probabilidad / Hot Lead (Prioridad),1
39180,0.989311403667408,1. Alta Probabilidad / Hot Lead (Prioridad),1
39184,0.9890405325199997,1. Alta Probabilidad / Hot Lead (Prioridad),1
39153,0.9889126608013388,1. Alta Probabilidad / Hot Lead (Prioridad),1
39348,0.9887122019966732,1. Alta Probabilidad / Hot Lead (Prioridad),1
39147,0.9880098893612401,1. Alta Probabilidad / Hot Lead (Prioridad),1
39134,0.9877058170347993,1. Alta Probabilidad / Hot Lead (Prioridad),1
39340,0.9865121500348815,1. Alta Probabilidad / Hot Lead (Prioridad),1
39378,0.9862690118256057,1. Alta Probabilidad / Hot Lead (Prioridad),1
39389,0.985720078685667,1. Alta Probabilidad / Hot Lead (Prioridad),1
39336,0.9856273091381021,1. Alta Probabilidad / Hot Lead (Prioridad),1
39225,0.98499066633951,1. Alta Probabilidad / Hot Lead (Prioridad),1
39323,0.9848759866688629,1. Alta Probabilidad / Hot Lead (Prioridad),1
39322,0.9848759866688629,1. Alta Probabilidad / Hot Lead (Prioridad),1
39186,0.9848311128486322,1. Alta Probabilidad / Hot Lead (Prioridad),1
38539,0.9845735316876707,1. Alta Probabilidad / Hot Lead (Prioridad),1
39221,0.9843508061474325,1. Alta Probabilidad / Hot Lead (Prioridad),1
39226,0.98433203761088,1. Alta Probabilidad / Hot Lead (Prioridad),1
39338,0.9840007985623095,1. Alta Probabilidad / Hot Lead (Prioridad),1
39268,0.983993844713561,1. Alta Probabilidad / Hot Lead (Prioridad),1
39300,0.9838389496939137,1. Alta Probabilidad / Hot Lead (Prioridad),1
39326,0.9838273121801434,1. Alta Probabilidad / Hot Lead (Prioridad),1
39233,0.9837960469297258,1. Alta Probabilidad / Hot Lead (Prioridad),1
39086,0.9837710062452023,1. Alta Probabilidad / Hot Lead (Prioridad),1
39392,0.9835955736501396,1. Alta Probabilidad / Hot Lead (Prioridad),1
39274,0.9835904592186195,1. Alta Probabilidad / Hot Lead (Prioridad),1
39261,0.9835241783177178,1. Alta Probabilidad / Hot Lead (Prioridad),1
39308,0.9834098758482668,1. Alta Probabilidad / Hot Lead (Prioridad),1
39258,0.9830539328935108,1. Alta Probabilidad / Hot Lead (Prioridad),1
39301,0.9826607889497089,1. Alta Probabilidad / Hot Lead (Prioridad),1
39262,0.9826154751915301,1. Alta Probabilidad / Hot Lead (Prioridad),1
39159,0.9825265189628887,1. Alta Probabilidad / Hot Lead (Prioridad),1
39152,0.9824648544913636,1. Alta Probabilidad / Hot Lead (Prioridad),1
41053,0.9824148904746611,1. Alta Probabilidad / Hot Lead (Prioridad),1
39222,0.9823585705406733,1. Alta Probabilidad / Hot Lead (Prioridad),1
39228,0.9822880186084602,1. Alta Probabilidad / Hot Lead (Prioridad),1
39286,0.9822186681258813,1. Alta Probabilidad / Hot Lead (Prioridad),1
38587,0.9822028747274031,1. Alta Probabilidad / Hot Lead (Prioridad),1
39249,0.9820044502745976,1. Alta Probabilidad / Hot Lead (Prioridad),1
39255,0.9818842684355122,1. Alta Probabilidad / Hot Lead (Prioridad),1
41022,0.9817388659820188,1. Alta Probabilidad / Hot Lead (Prioridad),1
38415,0.9816454626350761,1. Alta Probabilidad / Hot Lead (Prioridad),1
39344,0.9816371092493923,1. Alta Probabilidad / Hot Lead (Prioridad),1
41026,0.9815603048851277,1. Alta Probabilidad / Hot Lead (Prioridad),1
39175,0.9814944075199311,1. Alta Probabilidad / Hot Lead (Prioridad),1
40276,0.981444150748532,1. Alta Probabilidad / Hot Lead (Prioridad),1
39315,0.9813428009772427,1. Alta Probabilidad / Hot Lead (Prioridad),1
39218,0.9812371253827744,1. Alta Probabilidad / Hot Lead (Prioridad),1
38487,0.9812189148546259,1. Alta Probabilidad / Hot Lead (Prioridad),1
39291,0.9810695454720811,1. Alta Probabilidad / Hot Lead (Prioridad),1
39164,0.9810022539192679,1. Alta Probabilidad / Hot Lead (Prioridad),1
38274,0.980995202508918,1. Alta Probabilidad / Hot Lead (Prioridad),1
39256,0.9809411879994446,1. Alta Probabilidad / Hot Lead (Prioridad),1
39295,0.9807958042453362,1. Alta Probabilidad / Hot Lead (Prioridad),1
39243,0.9807514177845384,1. Alta Probabilidad / Hot Lead (Prioridad),1
40857,0.9806265302342759,1. Alta Probabilidad / Hot Lead (Prioridad),1
38179,0.9806209115861793,1. Alta Probabilidad / Hot Lead (Prioridad),1
39272,0.9805354710422715,1. Alta Probabilidad / Hot Lead (Prioridad),1
40966,0.9804035785347355,1. Alta Probabilidad / Hot Lead (Prioridad),1
40450,0.9803007370559846,1. Alta Probabilidad / Hot Lead (Prioridad),1
39061,0.9802689045409947,1. Alta Probabilidad / Hot Lead (Prioridad),1
39325,0.9802660104980195,1. Alta Probabilidad / Hot Lead (Prioridad),1
38316,0.9800500537029111,1. Alta Probabilidad / Hot Lead (Prioridad),1
38457,0.9800327714722331,1. Alta Probabilidad / Hot Lead (Prioridad),1
38445,0.9800081322219659,1. Alta Probabilidad / Hot Lead (Prioridad),1
38314,0.9799920449453486,1. Alta Probabilidad / Hot Lead (Prioridad),1
39353,0.9799727002107875,1. Alta Probabilidad / Hot Lead (Prioridad),1
39058,0.9799115252339698,1. Alta Probabilidad / Hot Lead (Prioridad),1
38270,0.979810728816556,1. Alta Probabilidad / Hot Lead (Prioridad),1
41020,0.9797714368602864,1. Alta Probabilidad / Hot Lead (Prioridad),1
39220,0.9796673562965036,1. Alta Probabilidad / Hot Lead (Prioridad),1
38505,0.9794453403477406,1. Alta Probabilidad / Hot Lead (Prioridad),1
39208,0.9793904828513204,1. Alta Probabilidad / Hot Lead (Prioridad),1
40210,0.9793837598416159,1. Alta Probabilidad / Hot Lead (Prioridad),1
